PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,1^conc^FLOAT^uM^^^,2^giprct^FLOAT^^^^,3^nbrtest^INT^^^^,4^range^FLOAT^^^^
67070,21396,Inactive,269,,,50,11.15,2,18.5
67073,12130,Inactive,257,,,50,-1,2,42.4
67074,13829,Inactive,272,,,50,14.45,2,13.3
67075,20680,Inactive,279,,,50,21.35,2,17.3
67078,7526,Inactive,276,,,50,18.95,2,3.1
67079,6046,Inactive,289,,,50,31.15,2,14.9
67080,5271570,Inactive,301,,,50,43.85,2,16.3
67083,676116,Active,338,,,5,80,2,8
67084,227,Inactive,261,,,50,3.8,2,5.4
67085,15295,Inactive,262,,,50,4.65,2,28.9
67086,6926,Inactive,263,,,50,5.5,2,1.6
67087,66627,Inactive,282,,,50,24.75,2,5.7
67088,243,Inactive,268,,,50,10.85,2,8.7
67089,7448,Inactive,251,,,50,-7.55,2,4.7
67090,5354058,Active,345,,,50,87.45,2,7.1
67093,5354060,Inactive,299,,,50,41.75,2,7.7
67096,5912471,Active,338,,,50,80.8,2,1.2
67097,5354061,Inactive,255,,,50,-3.25,2,3.1
67101,5926293,Inactive,252,,,50,-6,2,7.4
67104,757,Inactive,229,,,50,-29.05,2,53.7
67107,1018,Inactive,288,,,50,30,2,21.4
67108,11729,Inactive,288,,,50,30.85,2,15.9
67110,7899,Inactive,287,,,50,29.3,2,20.8
67111,11746,Inactive,292,,,50,34.5,2,15.8
67112,10367,Inactive,298,,,50,40.95,2,15.9
67113,7493,Inactive,257,,,50,-1.35,2,16.1
67114,10273,Inactive,261,,,50,3,2,4.4
67116,338,Inactive,264,,,50,6.95,2,25.3
67118,6807,Inactive,272,,,50,14.45,2,9.3
67119,7318,Inactive,266,,,50,8.35,2,13.1
67121,6197,Active,357,,,5,99,2,0
67122,54680783,Inactive,280,,,50,22.8,2,8.8
67123,11596,Inactive,258,,,50,0.3,2,31.8
67124,219204,Inactive,254,,,50,-4.6,2,0.2
67125,19549,Inactive,292,,,5,34,2,10
67127,219205,Inactive,281,,,50,23.95,2,27.5
67129,5354062,Inactive,327,,,50,69.15,2,11.1
67130,5354063,Active,338,,,50,80.7,2,15.8
67131,219208,Inactive,250,,,50,-8.15,2,36.3
67133,74903,Inactive,277,,,50,19.75,2,24.5
67137,219210,Inactive,305,,,50,47.35,2,20.7
67139,219212,Inactive,277,,,50,19.6,2,29
67140,69030,Inactive,256,,,50,-2.6,2,7.8
67142,219213,Inactive,294,,,50,36,2,26
67149,8482,Inactive,295,,,50,37,2,26.8
67150,7430,Inactive,315,,,50,57.55,2,11.9
67154,94717,Inactive,247,,,50,-11.85,2,14.3
67155,219218,Inactive,237,,,50,-21.75,2,34.5
67156,219219,Inactive,243,,,50,-15.05,2,44.1
67157,219220,Inactive,256,,,0.5,-2,2,4
67159,21397,Inactive,227,,,50,-31.1,2,2.2
67161,5354064,Active,340,,,5,82,2,18
67163,66197,Inactive,257,,,50,-1.4,2,36.6
67165,219224,Inactive,267,,,50,9.4,2,39.6
67166,21399,Inactive,263,,,50,5.95,2,11.1
67167,219225,Inactive,262,,,50,4.65,2,4.9
67168,219226,Inactive,241,,,50,-17.55,2,42.7
67169,12058,Inactive,247,,,50,-11.6,2,61
67170,79221,Inactive,238,,,50,-20.4,2,66.2
67172,219227,Inactive,272,,,50,14.7,2,5.6
67174,219229,Inactive,271,,,50,13.35,2,2.5
67175,7257,Inactive,262,,,50,4.8,2,60.8
67177,72904,Inactive,254,,,50,-4.85,2,21.3
67178,10435,Inactive,249,,,50,-9.65,2,65.7
67185,219234,Inactive,264,,,50,6.15,2,48.5
67186,4602462,Inactive,300,,,50,42.7,2,42.4
67187,219236,Inactive,271,,,50,13.75,2,14.5
67188,5106036,Inactive,280,,,50,22.2,2,41.2
67190,13826,Inactive,238,,,50,-20.6,2,63.2
67191,219238,Inactive,267,,,5,9,2,1
67192,5711036,Inactive,285,,,50,27.95,2,32.9
67194,9615350,Inactive,255,,,50,-3,2,5.6
67196,69380,Inactive,264,,,50,6.85,2,48.7
67197,94719,Active,332,,,50,74.2,2,5.2
67200,79222,Inactive,262,,,50,4.95,2,19.9
67204,219243,Inactive,262,,,50,4.55,2,1.9
67205,79223,Inactive,272,,,50,14.75,2,34.3
67206,21134,Inactive,273,,,50,15.15,2,23.3
67207,12068,Inactive,299,,,50,41.3,2,18.8
67208,25208,Inactive,281,,,50,23.05,2,9.9
67209,11298,Inactive,285,,,50,27.15,2,5.5
67210,69884,Inactive,272,,,50,14.2,2,14
67211,79224,Inactive,259,,,50,1.75,2,17.3
67213,707067,Inactive,250,,,50,-8.7,2,10.2
67214,14269,Inactive,249,,,50,-9.2,2,14
67217,4775,Inactive,269,,,50,11.3,2,45.4
67218,73851,Inactive,272,,,50,14.7,2,21.8
67219,219245,Active,328,,,50,70.1,2,3.2
67220,702282,Inactive,254,,,50,-4.35,2,7.7
67223,11393,Inactive,306,,,50,48.05,2,13.5
67225,219248,Inactive,270,,,50,12.95,2,25.5
67226,17673,Inactive,267,,,50,9.25,2,47.7
67228,219249,Inactive,249,,,50,-9.55,2,16.3
67229,219250,Inactive,263,,,50,5.05,2,14.5
67231,69234,Inactive,287,,,50,29.35,2,34.7
67233,11485,Inactive,321,,,50,63.45,2,12.7
67234,219252,Inactive,258,,,50,0.65,2,4.9
67236,219253,Inactive,263,,,50,5,2,3.8
67240,219255,Inactive,258,,,50,0.65,2,18.3
67241,219256,Inactive,258,,,50,0.2,2,26.6
67244,5354069,Inactive,276,,,50,18.1,2,24.8
67245,219260,Active,357,,,5,99,2,1
67247,219262,Inactive,273,,,50,15.25,2,40.1
67248,219263,Inactive,283,,,50,25.95,2,28.7
67249,219264,Inactive,286,,,50,28.85,2,20.7
67250,219265,Inactive,295,,,50,37.2,2,22.2
67251,219266,Inactive,299,,,50,41.85,2,23.7
67254,219269,Inactive,291,,,50,33.25,2,24.7
67255,219270,Inactive,297,,,50,39.5,2,24.6
67258,11758,Inactive,274,,,50,16.5,2,23.6
67259,13697,Inactive,255,,,50,-3.3,2,0
67260,21421,Inactive,279,,,50,21.45,2,17.7
67261,8819,Inactive,286,,,50,28.05,2,22.1
67262,78831,Inactive,258,,,50,0.65,2,6.1
67264,219274,Inactive,288,,,50,30.35,2,22.7
67265,79260,Inactive,294,,,50,36.3,2,23
67266,219275,Inactive,301,,,50,43.05,2,23.1
67267,79063,Inactive,269,,,50,11.1,2,37.8
67268,11830,Inactive,257,,,50,-1.75,2,7.5
67269,219276,Inactive,259,,,50,1.35,2,40.1
67270,219277,Inactive,254,,,50,-4.4,2,28.4
67271,219278,Inactive,281,,,50,23.65,2,28.9
67272,219279,Inactive,281,,,50,23.45,2,26.3
67273,77698,Inactive,290,,,50,32.9,2,18.2
67277,219282,Inactive,278,,,50,20.8,2,41.2
67279,7269444,Inactive,311,,,5,53,2,20
67280,219284,Inactive,276,,,5,18,2,17
67281,95298,Inactive,301,,,50,43.35,2,24.5
67282,219285,Inactive,297,,,50,39.2,2,27.6
67283,219286,Inactive,307,,,5,49,2,5
67284,79261,Inactive,280,,,50,22.15,2,22.7
67285,79262,Inactive,256,,,50,-2.85,2,44.3
67286,219287,Inactive,241,,,50,-17.4,2,35
67289,5354070,Inactive,296,,,5,38,2,25
67290,5354071,Active,354,,,50,96.3,2,0
67295,76258,Inactive,254,,,50,-4.45,2,8.1
67296,8660,Inactive,241,,,50,-17.85,2,33.1
67297,219295,Inactive,326,,,50,68.5,2,15.8
67300,6933298,Active,357,,,50,99.5,2,0
67301,94721,Inactive,315,,,50,57.05,2,23.5
67302,219296,Active,356,,,5,98,2,0
67303,219297,Inactive,296,,,50,38.7,2,6
67306,219298,Inactive,242,,,50,-16,2,39
67307,138461,Inactive,272,,,50,14.45,2,22.9
67310,219300,Inactive,258,,,50,-0.5,2,44
67311,219301,Inactive,324,,,50,66,2,42.6
67312,67979,Inactive,257,,,50,-1.65,2,18.3
67313,9837,Inactive,242,,,50,-16.05,2,24.7
67314,219302,Inactive,258,,,50,-0.4,2,1.4
67315,219303,Inactive,249,,,50,-9.95,2,15.1
67316,5792,Inactive,293,,,50,35.8,2,62.2
67317,12893,Inactive,254,,,50,-4.95,2,45.5
67318,31178,Inactive,313,,,50,55.85,2,23.9
67319,219304,Active,356,,,5,98,2,0
67321,70369,Inactive,244,,,50,-14.6,2,19
67326,53590,Inactive,255,,,50,-3.95,2,20.7
67327,12518,Inactive,294,,,50,36.8,2,13
67328,79264,Inactive,258,,,50,0.85,2,42.9
67329,196997,Inactive,268,,,50,10.4,2,2.8
67331,219310,Inactive,253,,,50,-5.7,2,7.6
67332,8444,Inactive,267,,,50,9.05,2,18.5
67333,7744,Active,357,,,50,99.2,2,0
67334,219311,Inactive,257,,,50,-1.25,2,20.9
67336,301,Inactive,273,,,50,15.45,2,20.1
67338,12194,Inactive,255,,,50,-3.4,2,17.2
67342,9702,Inactive,256,,,50,-2.6,2,30.6
67343,7514,Inactive,270,,,50,12.6,2,9.8
67345,6514,Inactive,244,,,50,-14.6,2,64
67347,7109,Inactive,240,,,50,-18.55,2,20.7
67348,12195,Inactive,262,,,50,4.3,2,22
67351,5565,Inactive,287,,,50,29.1,2,10
67352,10871,Inactive,257,,,50,-1.9,2,4.8
67353,95299,Inactive,282,,,50,24.95,2,40.7
67354,8111,Inactive,275,,,50,17.95,2,45.3
67355,12505,Inactive,268,,,50,10.6,2,8.8
67356,219312,Inactive,285,,,50,27.05,2,23.7
67357,15347,Inactive,272,,,50,14.65,2,22.5
67359,7413,Inactive,275,,,50,17.05,2,44.3
67360,11577,Inactive,263,,,50,5.9,2,21.8
67361,6610,Inactive,267,,,50,9.45,2,16.1
67362,66965,Inactive,267,,,50,9.95,2,4.1
67364,6710,Inactive,276,,,50,18.25,2,0.7
67365,69682,Inactive,253,,,50,-5.4,2,13.6
67366,7953,Inactive,281,,,50,23.95,2,7.7
67367,8112,Inactive,276,,,50,18.8,2,23.4
67369,3083872,Inactive,257,,,50,-1.65,2,17.1
67370,9217,Inactive,258,,,50,-0.3,2,5.6
67372,95300,Inactive,292,,,50,34.75,2,4.9
67373,219314,Inactive,262,,,50,4.25,2,4.5
67375,219316,Inactive,323,,,50,65.4,2,1.4
67377,219318,Inactive,294,,,50,36.35,2,2.3
67379,7333,Inactive,206,,,50,-52.4,2,15.4
67381,14306,Inactive,262,,,50,4.75,2,12.3
67382,11773,Inactive,263,,,50,5.05,2,7.9
67383,219320,Inactive,236,,,50,-22.25,2,29.5
67385,219322,Active,357,,,50,99.15,2,0.1
67386,94722,Active,356,,,50,98.95,2,0.1
67387,17373,Inactive,277,,,50,19.75,2,7.9
67388,219323,Inactive,294,,,50,36.4,2,8
67389,219324,Inactive,306,,,5,48,2,17
67391,6279741,Inactive,286,,,50,28.4,2,4.8
67392,1549182,Inactive,319,,,50,61.95,2,3.1
67393,17608,Inactive,268,,,50,10.1,2,7.2
67394,17797,Active,355,,,50,97.85,2,0.1
67395,15847,Inactive,278,,,50,20.1,2,17.4
67396,18089,Inactive,290,,,50,32.05,2,0.7
67397,219328,Inactive,289,,,50,31.55,2,1.9
67398,690158,Inactive,293,,,50,35.6,2,3.4
67399,219329,Inactive,297,,,50,39.4,2,4.2
67400,219330,Inactive,280,,,50,22,2,1.6
67404,5831288,Inactive,260,,,50,2.65,2,4.7
67405,5375013,Inactive,312,,,50,54.9,2,0.8
67406,5187895,Active,345,,,50,87.45,2,2.7
67408,15221,Inactive,270,,,50,12.25,2,13.3
67409,95302,Inactive,278,,,50,20.35,2,3.1
67410,138212,Inactive,258,,,50,0.9,2,16.6
67411,12374,Inactive,270,,,50,12.3,2,6.2
67412,77422,Inactive,258,,,50,0.95,2,5.5
67414,77487,Inactive,301,,,50,43.35,2,0.5
67415,73927,Inactive,306,,,50,48.6,2,0.8
67416,93000,Inactive,298,,,50,40.25,2,4.1
67417,121395,Inactive,266,,,50,8.45,2,2.3
67418,219336,Inactive,238,,,50,-20.3,2,19
67419,75270,Inactive,229,,,50,-29.8,2,1.4
67420,79067,Inactive,276,,,50,18.4,2,17.2
67423,138465,Inactive,274,,,50,16.95,2,7.7
67424,21437,Inactive,272,,,50,14.75,2,6.9
67427,61035,Inactive,266,,,50,8.25,2,25.1
67428,15205,Inactive,282,,,50,24.7,2,16
67433,219340,Inactive,296,,,50,38.3,2,10
67434,219341,Inactive,322,,,5,64,2,51
67435,219342,Inactive,327,,,50,69.65,2,1.9
67436,8342,Active,357,,,0.5,99,2,0
67437,219343,Inactive,273,,,50,15.05,2,15.1
67438,15325,Active,357,,,50,99.15,2,0.1
67439,76305,Active,334,,,50,76.15,2,1.3
67440,17604,Inactive,284,,,50,26.1,2,2.6
67441,219344,Inactive,290,,,50,32,2,1.4
67442,219345,Inactive,292,,,50,34.55,2,3.5
67443,219346,Active,358,,,5,100,2,0
67444,94725,Inactive,275,,,50,17.05,2,2.3
67445,219347,Active,357,,,5,99,2,0
67446,5354074,Inactive,279,,,50,21.6,2,4.2
67447,219349,Inactive,267,,,50,9.75,2,6.1
67451,13543,Inactive,246,,,50,-12.35,2,33.9
67454,219353,Inactive,257,,,50,-1.05,2,6.5
67455,219354,Inactive,256,,,50,-2.95,2,2.3
67459,5354075,Inactive,271,,,50,13.6,2,11.8
67460,5325574,Inactive,269,,,50,11.85,2,1.5
67461,137196,Inactive,264,,,50,6.5,2,5.8
67462,219359,Inactive,271,,,50,13.85,2,17.3
67465,219361,Inactive,259,,,50,1.95,2,10.9
67466,219362,Inactive,275,,,50,17.65,2,3.3
67467,219363,Inactive,282,,,50,24.25,2,21.3
67468,219364,Inactive,295,,,50,37.45,2,2.5
67470,,Inactive,304,,,50,46.25,2,2.5
67471,69989,Inactive,239,,,50,-19,2,4
67473,219366,Active,352,,,5,94,2,7
67475,9731,Inactive,227,,,50,-31.95,2,1.1
67476,12138,Inactive,270,,,50,12.25,2,19.5
67477,219367,Inactive,270,,,50,12.25,2,14.7
67478,94726,Inactive,248,,,50,-10.25,2,9.7
67480,54599266,Inactive,269,,,50,11.85,2,35.3
67481,6838,Inactive,292,,,50,34.5,2,2.8
67483,219371,Inactive,282,,,50,24.55,2,4.1
67484,219372,Inactive,326,,,50,68.15,2,3.1
67486,219373,Inactive,257,,,50,-1,2,24
67487,219374,Inactive,275,,,50,17.35,2,26.5
67488,219375,Inactive,306,,,50,48.85,2,5.5
67489,6866,Inactive,255,,,50,-3.6,2,1.8
67491,13162,Inactive,268,,,50,10.05,2,15.1
67492,219376,Active,357,,,5,99,2,0
67493,75568,Inactive,260,,,50,2.5,2,7.2
67494,219377,Inactive,265,,,50,7.4,2,0.6
67496,219379,Inactive,267,,,5,9,2,16
67497,219380,Inactive,262,,,50,4.5,2,24.8
67498,219381,Inactive,263,,,50,5.75,2,9.9
67499,70097,Inactive,254,,,50,-4.95,2,7.3
67501,219383,Inactive,269,,,50,11.8,2,35.6
67502,219384,Inactive,266,,,50,8.15,2,9.1
67503,6773,Inactive,264,,,50,6,2,1.4
67505,78632,Inactive,257,,,50,-1,2,0
67507,219385,Inactive,259,,,50,1.6,2,10
67509,12274,Inactive,262,,,50,4.05,2,1.5
67510,13057,Inactive,270,,,50,12.65,2,9.7
67511,69687,Inactive,255,,,50,-3.75,2,16.7
67512,219387,Inactive,249,,,50,-9.9,2,6.2
67513,79246,Inactive,258,,,50,-0.6,2,0.8
67514,70275,Inactive,239,,,50,-19.35,2,11.5
67515,219388,Inactive,248,,,50,-10.65,2,20.3
67516,15800,Inactive,261,,,50,3.9,2,12.8
67517,14106,Inactive,259,,,50,1.5,2,18.4
67518,219389,Inactive,260,,,50,2.85,2,3.5
67519,8348,Inactive,260,,,50,2.9,2,5.2
67520,66159,Inactive,252,,,50,-6.5,2,17.4
67521,219390,Inactive,275,,,50,17.65,2,2.9
67522,219391,Inactive,303,,,50,45.9,2,89.4
67527,7838,Inactive,273,,,50,15.85,2,0.1
67528,91521,Active,344,,,5,86,2,3
67530,219395,Active,354,,,50,96.8,2,0.8
67532,7287,Inactive,267,,,50,9.9,2,5.8
67533,7276,Inactive,294,,,50,36.85,2,7.7
67534,219396,Inactive,267,,,50,9.1,2,12.6
67535,21450,Inactive,265,,,50,7.1,2,14.6
67537,94728,Inactive,257,,,50,-1.55,2,8.7
67538,65723,Inactive,270,,,50,12.7,2,15
67539,11955,Inactive,239,,,50,-19,2,24.8
67541,5354082,Inactive,283,,,50,25.8,2,2.8
67542,1742,Inactive,276,,,50,18.25,2,5.7
67544,77433,Inactive,276,,,50,18.35,2,5.5
67545,219401,Inactive,283,,,50,25.05,2,20.5
67546,13637,Inactive,319,,,50,61.95,2,6.5
67547,73098,Inactive,294,,,50,36.95,2,0.5
67548,11559,Inactive,273,,,50,15.35,2,28.7
67550,219402,Inactive,268,,,50,10.7,2,0.8
67551,6876523,Inactive,275,,,50,17.15,2,1.3
67552,6399014,Inactive,270,,,50,12.2,2,5.6
67553,5354084,Inactive,282,,,50,24.95,2,0.3
67554,6409633,Inactive,258,,,50,0.1,2,6.2
67556,6478035,Active,357,,,5,99,2,0
67558,9560995,Active,354,,,50,96.9,2,2.2
67563,6410,Inactive,241,,,50,-17,2,50.4
67565,11966,Active,357,,,5,99,2,0
67568,219408,Inactive,263,,,50,5.05,2,9.5
67569,3000729,Active,347,,,50,89.45,2,2.3
67570,67502,Inactive,291,,,50,33.4,2,12.8
67571,2723699,Inactive,262,,,50,4.4,2,8
67572,817026,Inactive,286,,,50,28.35,2,17.3
67575,700999,Inactive,270,,,50,12.7,2,11.6
67578,2724189,Inactive,293,,,50,35.6,2,6.6
67581,9560997,Inactive,244,,,50,-14.25,2,47.1
67587,5911715,Inactive,281,,,50,23.45,2,7.7
67590,781748,Inactive,256,,,50,-2.55,2,1.7
67591,3751882,Inactive,294,,,50,36.85,2,4.1
67593,730679,Inactive,268,,,5,10,2,15
67594,5354097,Active,355,,,50,97.2,2,0.2
67595,7245310,Inactive,295,,,50,37.3,2,3.4
67596,5929944,Inactive,270,,,50,12.05,2,15.9
67598,5363036,Inactive,276,,,50,18.45,2,16.3
67599,5359573,Inactive,302,,,50,44.95,2,3.5
67600,2770166,Inactive,255,,,50,-3.95,2,4.7
67601,6864775,Inactive,304,,,50,46.65,2,1.1
67602,5776548,Inactive,327,,,50,69.5,2,0.4
67603,9561003,Inactive,257,,,0.5,-1,2,34
67605,9561004,Inactive,286,,,50,28.55,2,2.1
67606,2829394,Inactive,258,,,50,-0.35,2,48.1
67607,6474578,Inactive,252,,,50,-6.8,2,6.8
67608,6148032,Inactive,286,,,50,28.25,2,13.3
67609,5354106,Inactive,233,,,50,-25.6,2,14
67610,5354107,Inactive,264,,,50,6.55,2,56.5
67611,5354108,Inactive,281,,,50,23.4,2,20.8
67612,6891945,Inactive,262,,,50,4.65,2,14.7
67613,5354110,Inactive,171,,,50,-87.9,2,197.6
67614,6074760,Inactive,290,,,50,32.55,2,0.5
67616,6436742,Inactive,271,,,50,13.05,2,7.1
67617,6881283,Active,333,,,5,75,2,1
67618,5382559,Inactive,292,,,5,34,2,40
67619,6474573,Inactive,240,,,50,-18.65,2,10.3
67620,6433252,Inactive,206,,,50,-52.9,2,58.4
67622,5354115,Inactive,253,,,50,-5.2,2,39.2
67623,5365426,Inactive,280,,,50,22.7,2,5.4
67624,5484321,Inactive,255,,,50,-3.85,2,2.5
67625,10858,Inactive,251,,,50,-7.6,2,25.6
67626,2154,Active,341,,,50,83.5,2,0.8
67627,126941,Active,345,,,50,87.85,2,2.1
67628,5744,Inactive,220,,,50,-38.45,2,3.1
67629,94737,Inactive,292,,,50,34.7,2,47.6
67632,713,Inactive,247,,,50,-11.7,2,10.8
67633,2478,Inactive,258,,,50,0.05,2,29.5
67634,6205,Inactive,230,,,50,-28.6,2,25.2
67635,91444,Inactive,221,,,50,-37.15,2,18.7
67636,6167,Inactive,263,,,50,5.15,2,0.7
67637,5798,Inactive,212,,,50,-46.75,2,74.3
67638,219433,Inactive,270,,,5,12,2,1
67639,9589,Inactive,246,,,50,-12.55,2,2.5
67641,219434,Inactive,244,,,50,-14.15,2,13.5
67644,9561007,Active,357,,,5,99,2,0
67645,8805,Active,357,,,5,99,2,1
67646,9561008,Active,357,,,50,99.3,2,0
67647,10665,Inactive,253,,,50,-5.6,2,17.2
67648,219438,Inactive,258,,,50,-0.65,2,9.1
67649,219439,Inactive,260,,,5,2,2,4
67651,219441,Inactive,288,,,50,30.7,2,23.8
67653,76617,Inactive,241,,,50,-17.75,2,24.5
67656,12712,Inactive,237,,,50,-21.85,2,8.5
67659,21424,Inactive,244,,,50,-14.6,2,4.2
67660,17176,Inactive,249,,,50,-9.75,2,0.7
67661,219443,Inactive,251,,,50,-7.8,2,17
67665,94738,Inactive,258,,,0.5,0,2,1
67666,219444,Inactive,238,,,50,-20,2,9.2
67668,10801,Inactive,240,,,50,-18.35,2,12.3
67669,3577592,Active,346,,,5,88,2,10
67670,219447,Inactive,216,,,50,-42.1,2,17.2
67671,219448,Inactive,241,,,50,-17.45,2,57.7
67672,6172415,Inactive,327,,,50,69.45,2,2.1
67673,219450,Inactive,315,,,5,57,2,11
67674,5354118,Inactive,271,,,50,13.1,2,6.4
67675,5354119,Inactive,298,,,50,40.3,2,1.4
67676,5354063,Inactive,279,,,50,21.15,2,5.7
67677,5924963,Inactive,269,,,50,11.5,2,11.8
67678,67258,Inactive,244,,,50,-14.2,2,2.6
67679,219454,Inactive,226,,,50,-32,2,1.2
67680,74062,Inactive,300,,,50,42.6,2,15
67681,219455,Inactive,266,,,50,8.75,2,12.3
67682,10347,Inactive,261,,,50,3.75,2,35.5
67683,14182,Inactive,252,,,50,-6.7,2,14.4
67686,219456,Inactive,259,,,50,1.8,2,3.8
67689,219459,Inactive,247,,,50,-11.8,2,38
67690,17355,Inactive,259,,,50,1.9,2,2.6
67692,76194,Inactive,264,,,50,6.8,2,8.2
67693,219460,Inactive,264,,,50,6.6,2,6.2
67695,12837,Inactive,255,,,50,-3.7,2,9.2
67696,219462,Inactive,249,,,50,-9.15,2,3.3
67697,9777,Inactive,261,,,50,3.25,2,2.9
67698,21428,Inactive,244,,,50,-14.05,2,2.5
67701,219463,Inactive,269,,,50,11.4,2,31.6
67702,70831,Inactive,286,,,50,28.6,2,11.4
67703,13669,Inactive,273,,,50,15,2,18.2
67704,219464,Inactive,251,,,50,-7.95,2,3.3
67706,61067,Inactive,260,,,50,2.2,2,5.2
67707,736782,Inactive,263,,,50,5.1,2,6
67709,219467,Inactive,258,,,50,0.05,2,10.1
67710,74878,Inactive,246,,,50,-12.5,2,5.8
67712,5354120,Active,355,,,5,97,2,0
67713,11686,Inactive,261,,,50,3.1,2,6.2
67714,219469,Inactive,258,,,50,0,2,4
67715,136089,Inactive,258,,,50,0.55,2,6.5
67716,219470,Inactive,251,,,50,-7.35,2,19.1
67717,219471,Inactive,323,,,5,65,2,8
67719,18379,Inactive,249,,,50,-9.3,2,15.4
67721,14291,Inactive,260,,,50,2.25,2,16.9
67722,219473,Active,357,,,5,99,2,1
67723,76888,Inactive,281,,,50,23.5,2,0.4
67725,219474,Inactive,241,,,50,-17.4,2,10.8
67728,21429,Inactive,255,,,50,-3.45,2,11.3
67729,219475,Inactive,275,,,50,17.85,2,3.1
67730,219476,Inactive,295,,,50,37.05,2,3.3
67731,219477,Inactive,255,,,50,-3.2,2,0
67733,7480,Inactive,268,,,50,10.5,2,0.6
